"トムさんは中学校の先生です。","トムさんは 中学校[ちゅうがっこう]の 先生[せんせい]です。","Tom is a junior high school teacher.<br><br>中学校[ちゅうがっこう] - Junior High School","トムさんは中学校の先生です。","[sound:JLPT_Tango_N5_0110.mp3]","単語N5"
"アメリカの高校で勉強します。","アメリカの 高校[こうこう]で 勉強[べんきょう]します。","I study at an American high school.<br><br>高校[こうこう] - High School","アメリカの高校で勉強します。","[sound:JLPT_Tango_N5_0111.mp3]","単語N5"
"スミスさんは大学の先生です。","スミスさんは 大学[だいがく]の 先生[せんせい]です。","Smith-san is a teacher at a university.<br><br>大学[だいがく] - College / University","スミスさんは大学の先生です。","[sound:JLPT_Tango_N5_0112.mp3]","単語N5"
"先生は教室にいます。","先生[せんせい]は 教室[きょうしつ]にいます。","The teacher is in the classroom.<br><br>きょうしつ - Classroom","先生は教室にいます。","[sound:JLPT_Tango_N5_0113.mp3]","単語N5"
"クラスに留学生がいます。","クラスに 留学生[りゅうがくせい]がいます。","There are foreign students in the class.<br><br>クラス - Class","クラスに留学生がいます。","[sound:JLPT_Tango_N5_0114.mp3]","単語N5"
"学校へ行きます。","学校[がっこう]へ 行[い]きます。","I will go to school.<br><br>行[い]く - to go","学校へ行きます。","[sound:JLPT_Tango_N5_0115.mp3]","単語N5"
"先生が内へ来ます。","先生[せんせい]が 内[うち]へ 来[き]ます。","The teacher is coming inside.<br><br>来[く]る - to come","先生が内へ来ます。","[sound:JLPT_Tango_N5_0116.mp3]","単語N5"
"家へ帰ります。","家[うち]へ 帰[かえ]ります。","I will go home.<br><br>帰[かえ]る - Leave, Go Home","家へ帰ります。","[sound:JLPT_Tango_N5_0117.mp3]","単語N5"
"ゼロ","ゼロ","Zero","ゼロ","[sound:JLPT_Tango_N5_0118.mp3]","単語N5"
"一","一[いち]","One","一","[sound:JLPT_Tango_N5_0119.mp3]","単語N5"
"二","二[に]","Two","二","[sound:JLPT_Tango_N5_0120.mp3]","単語N5"
"三","三[さん]","Three","三","[sound:JLPT_Tango_N5_0121.mp3]","単語N5"
"四","四[し]・ 四[よん]","Four","四","[sound:JLPT_Tango_N5_0122.mp3]","単語N5"
"五","五[ご]","Five","五","[sound:JLPT_Tango_N5_0123.mp3]","単語N5"
"六","六[ろく]","Six","六","[sound:JLPT_Tango_N5_0124.mp3]","単語N5"
"七","七[しち]・ 七[なな]","Seven","七","[sound:JLPT_Tango_N5_0125.mp3]","単語N5"
"八","八[はち]","Eight","八","[sound:JLPT_Tango_N5_0126.mp3]","単語N5"
"九","九[く]・ 九[きゅう]","Nine","九","[sound:JLPT_Tango_N5_0127.mp3]","単語N5"
"十(number)","十 [じゅう]","Ten","十(number)","[sound:JLPT_Tango_N5_0128.mp3]","単語N5"
"十一","十[じゅう]一[いち]","Eleven","十一","[sound:JLPT_Tango_N5_0129.mp3]","単語N5"
"十二","十[じゅう]二[に]","Twelve","十二","[sound:JLPT_Tango_N5_0130.mp3]","単語N5"
"1月","1月[いちがつ]","January","1月","[sound:JLPT_Tango_N5_0131-01.mp3]","単語N5"
"2月","2月[にがつ]","February","2月","[sound:JLPT_Tango_N5_0131-02.mp3]","単語N5"
"3月","3月[さんがつ]","March","3月","[sound:JLPT_Tango_N5_0131-03.mp3]","単語N5"
"4月","4月[しがつ]","April","4月","[sound:JLPT_Tango_N5_0131-04.mp3]","単語N5"
"5月","5月[ごがつ]","May","5月","[sound:JLPT_Tango_N5_0131-05.mp3]","単語N5"
"6月","6月[ろくがつ]","June","6月","[sound:JLPT_Tango_N5_0131-06.mp3]","単語N5"
"7月","7月[しちがつ]","July","7月","[sound:JLPT_Tango_N5_0131-07.mp3]","単語N5"
"8月","8月[はちがつ]","August","8月","[sound:JLPT_Tango_N5_0131-08.mp3]","単語N5"
"9月","9月[くがつ]","September","9月","[sound:JLPT_Tango_N5_0131-09.mp3]","単語N5"
"10月","10月[じゅうがつ]","October","10月","[sound:JLPT_Tango_N5_0131-10.mp3]","単語N5"
"11月","11月[じゅういちがつ]","November","11月","[sound:JLPT_Tango_N5_0131-11.mp3]","単語N5"
"12月","12月[じゅうにがつ]","December","12月","[sound:JLPT_Tango_N5_0131-12.mp3]","単語N5"
"A「何月ですか。」<br>B「5月です。」","A 「 何月[なんがつ]ですか。」<br>B 「 5月[ごがつ]です。」","""A: What month is it?<br>B: It's May.<br><br>何月[なんがつ] - What Month""","A「何月ですか。」<br>B「5月です。」","[sound:JLPT_Tango_N5_0132.mp3]","単語N5"
"曜日","曜日[ようび]","Day of the Week","曜日","[sound:JLPT_Tango_N5_0133.mp3]","単語N5"
